	sentence	v	a	d
4240	euphoria	7.3	5.7	6.7
4241	euphoric	7.8	5.2	6.8
4242	euro	5.4	3.6	5.0
4243	euthanasia	3.3	5.2	5.4
4244	evacuate	3.4	5.2	3.3
4245	evacuation	4.2	5.2	3.1
4246	evade	4.6	5.9	6.0
4247	evaluate	5.1	3.8	6.2
4248	evaluation	4.9	5.9	4.6
4249	evaporate	5.4	4.0	4.8
4250	evasion	3.4	4.8	5.2
4251	evasive	3.2	3.4	5.1
4252	evening	7.1	3.1	5.2
4253	evens	5.3	3.7	4.3
4254	event	6.2	5.1	5.0
4255	eventual	5.0	3.4	4.8
4256	everlasting	6.6	3.8	5.2
4257	everyday	5.5	3.1	6.0
4258	everyman	5.4	3.5	4.4
4259	evict	2.6	4.7	4.0
4260	eviction	3.0	4.7	3.7
4261	evidence	4.7	3.9	4.6
4262	evident	5.1	3.8	6.2
4263	evidentiary	4.5	4.2	4.4
4264	evil	2.3	5.7	3.6
4265	evolution	5.4	6.3	4.8
4266	evolutionary	5.6	5.6	4.4
4267	evolve	5.7	4.5	5.5
4268	ex	2.7	4.8	4.0
4269	exact	5.6	4.0	5.7
4270	exacting	5.4	4.4	5.1
4271	exaggerate	4.4	4.5	5.6
4272	exaggeration	4.2	5.8	4.8
4273	exam	4.3	5.2	4.2
4274	examination	5.0	4.5	5.0
4275	examine	5.6	4.0	5.8
4276	examiner	4.3	3.7	6.2
4277	example	4.9	3.6	6.7
4278	excavation	4.9	4.6	5.7
4279	exceed	4.8	5.5	6.8
4280	excel	6.0	4.8	6.6
4281	excellence	7.9	5.3	7.4
4282	excellent	7.6	5.2	7.2
4283	excelsior	6.0	4.0	5.4
4284	exception	5.2	4.4	4.1
4285	exceptional	7.3	5.0	6.3
4286	excess	4.3	5.4	5.3
4287	excessive	4.4	3.7	4.0
4288	exchange	5.9	4.8	5.9
4289	excitable	5.7	5.4	6.6
4290	excite	7.8	6.6	5.8
4291	excited	8.1	6.4	7.3
4292	excitement	7.6	6.2	6.3
4293	exciting	8.0	7.0	7.2
4294	exclamation	6.8	5.4	6.0
4295	exclude	3.6	4.8	4.7
4296	exclusive	4.5	5.0	5.6
4297	excrement	2.0	4.6	3.4
4298	excruciating	2.1	5.3	3.4
4299	excursion	5.8	4.3	6.0
4300	excuse	4.5	3.6	4.7
4301	exec	4.9	3.7	5.6
4302	execute	3.9	5.8	5.0
4303	execution	2.3	6.0	3.3
4304	executioner	2.2	6.6	3.7
4305	executive	5.0	4.3	5.0
4306	executor	4.0	5.1	5.5
4307	exemplary	5.6	4.8	6.6
4308	exempt	4.8	4.4	5.5
4309	exemption	5.4	4.2	5.3
4310	exercise	6.3	5.4	6.9
4311	exert	5.5	4.6	6.0
4312	exhale	6.1	3.8	6.3
4313	exhaust	4.0	4.3	4.4
4314	exhaustion	3.2	4.5	4.3
4315	exhaustive	4.2	4.5	4.5
4316	exhibit	5.8	5.5	6.2
4317	exhibition	5.5	5.4	5.4
4318	exhilarated	6.9	6.6	6.5
4319	exhilarating	7.4	6.8	5.8
4320	exhumation	2.9	4.5	4.1
4321	exhume	4.0	4.5	4.8
4322	exile	3.3	5.9	3.4
4323	exist	5.9	4.0	6.0
4324	existence	6.2	4.4	5.1
4325	existential	5.9	4.3	6.1
4326	existing	4.8	5.0	6.5
4327	exit	5.4	3.2	7.0
4328	exodus	4.6	4.4	5.6
4329	exonerate	5.4	3.8	5.8
4330	exorcism	3.2	6.0	3.7
4331	exorcist	3.8	6.3	3.8
4332	exotic	7.6	6.9	5.6
4333	expand	5.4	3.3	5.4
4334	expansion	6.4	5.7	5.4
4335	expect	6.0	4.9	4.9
4336	expectancy	6.3	4.4	5.4
4337	expectation	6.1	4.5	5.0
4338	expedient	5.3	4.6	6.8
4339	expedite	6.1	4.9	6.0
4340	expedition	6.5	4.5	5.8
4341	expel	3.8	4.2	4.2
4342	expendable	3.8	5.1	4.0
4343	expense	3.9	4.8	4.4
4344	expensive	3.4	6.1	6.2
4345	experience	6.9	3.7	6.9
4346	experiment	6.0	4.9	5.7
4347	experimental	5.6	5.6	4.6
4348	experimentation	6.0	5.5	5.5
4349	expert	6.7	4.0	6.9
4350	expertise	6.1	6.0	6.7
4351	expiration	3.4	4.3	3.7
4352	expire	3.2	4.0	3.8
4353	explain	5.4	4.0	6.2
4354	explanation	6.4	4.0	6.1
4355	explicit	4.8	5.2	4.2
4356	explode	4.4	5.3	3.0
4357	exploit	3.6	5.2	4.2
4358	exploitation	2.9	6.1	5.0
4359	exploration	6.7	5.0	5.4
4360	exploratory	6.0	4.3	5.9
4361	explore	7.0	4.0	6.5
4362	explorer	5.9	5.2	6.4
4363	explosion	3.2	6.4	3.6
4364	explosive	4.1	6.6	3.3
4365	expo	6.3	4.4	5.1
4366	export	4.8	3.4	5.5
4367	expose	4.1	5.9	4.2
4368	exposition	5.4	4.3	5.4
4369	exposure	4.8	5.4	5.1
4370	express	5.5	4.8	6.6
4371	expression	6.2	4.3	6.9
4372	expressive	6.0	5.5	7.4
4373	expressway	4.6	4.1	4.6
4374	expulsion	2.5	4.6	3.6
4375	exquisite	7.5	4.6	6.6
4376	extend	5.9	3.6	6.0
4377	extension	5.0	4.2	6.1
4378	extensive	5.2	4.8	5.7
4379	extent	5.6	3.7	5.0
4380	exterior	5.6	3.4	5.9
4381	exterminate	3.2	6.0	4.2
4382	extermination	3.6	5.5	5.0
4383	exterminator	3.2	5.1	4.6
4384	external	5.4	3.0	5.5
4385	extinct	2.7	4.6	3.4
4386	extinction	3.1	5.0	3.0
4387	extinguish	4.6	4.9	5.5
4388	extinguisher	4.8	4.4	6.0
4389	extort	3.2	4.5	3.5
4390	extortion	2.2	4.6	3.0
4391	extra	6.4	2.9	5.7
4392	extract	5.2	3.4	6.2
4393	extraction	3.9	5.2	5.6
4394	extracurricular	6.1	4.3	6.8
4395	extradition	3.7	3.4	4.2
4396	extraordinaire	6.8	5.9	6.6
4397	extraordinary	7.4	4.2	6.8
4398	extraterrestrial	5.6	5.9	4.4
4399	extravagance	5.7	5.4	5.8
4400	extravagant	6.3	5.2	5.6
4401	extravaganza	6.9	5.5	5.8
4402	extreme	5.6	6.2	5.9
4403	extremity	4.6	4.9	5.6
4404	eye	6.2	4.0	5.7
4405	eyeball	5.7	3.9	5.2
4406	eyebrow	5.3	2.9	5.3
4407	eyeful	5.3	5.2	5.4
4408	eyeglasses	5.1	3.4	5.7
4409	eyelash	5.4	2.6	5.0
4410	eyeliner	6.4	3.7	5.5
4411	eyes	6.6	3.2	5.9
4412	eyesight	6.1	3.5	6.3
4413	eyewitness	4.5	4.7	5.5
4414	fable	5.8	4.1	5.9
4415	fabled	5.8	4.6	4.7
4416	fabric	6.0	2.4	5.8
4417	fabrication	4.0	4.1	5.8
4418	fabulous	7.8	5.2	7.2
4419	facade	4.6	3.6	4.9
4420	face	6.4	4.6	6.0
4421	faceless	2.6	4.1	3.9
4422	facial	6.2	4.6	6.1
4423	facilitate	4.6	3.6	6.6
4424	facility	5.3	4.0	5.0
4425	fact	6.2	3.3	6.0
4426	faction	5.1	4.1	4.5
4427	factor	4.9	3.6	4.7
4428	factory	5.0	3.0	5.1
4429	factual	5.9	3.2	7.1
4430	faculty	5.6	4.9	4.9
4431	fad	4.6	3.8	4.7
4432	fade	4.6	3.2	4.6
4433	fag	2.0	5.3	3.1
4434	faggot	2.3	5.7	3.6
4435	fail	2.3	5.5	4.7
4436	failure	2.2	5.0	5.0
4437	faint	4.0	3.7	3.5
4438	fair	7.1	3.3	6.1
4439	fairness	7.5	4.5	6.4
4440	fairway	4.8	3.4	5.8
4441	fairy	6.7	5.0	6.4
4442	faith	6.4	3.4	5.5
4443	faithful	8.0	4.5	7.3
4444	faithless	3.6	4.1	4.6
4445	fake	2.6	5.2	4.5
4446	faker	2.8	4.0	4.3
4447	falafel	5.5	3.7	4.8
4448	falcon	5.5	5.0	5.3
4449	fall	3.9	4.2	3.8
4450	fallacy	4.0	4.0	4.0
4451	fallback	4.8	3.7	4.9
4452	fallopian	4.6	3.6	5.4
4453	fallout	2.8	4.6	3.4
4454	fallow	4.4	3.5	5.2
4455	FALSE	3.3	5.2	4.7
4456	fame	5.4	4.6	6.3
4457	famed	5.3	3.9	4.7
4458	familiar	6.2	2.5	7.2
4459	familiarity	6.8	2.7	6.6
4460	family	7.2	4.4	6.0
4461	famine	3.0	6.1	3.1
4462	famished	4.5	6.4	4.3
4463	famous	5.9	4.2	5.4
4464	fan	6.8	3.7	6.0
4465	fanatic	4.7	6.2	4.3
4466	fanatical	3.9	5.9	3.8
4467	fanciful	7.0	4.8	6.8
4468	fancy	7.4	5.4	7.2
4469	fanfare	5.3	4.9	6.0
4470	fang	4.6	4.1	5.6
4471	fantasize	7.0	5.0	6.6
4472	fantastic	8.4	6.4	7.2
4473	fantasy	7.2	6.2	6.4
4474	faraway	4.7	3.4	5.1
4475	farce	4.3	4.0	3.7
4476	fare	4.9	2.3	4.0
4477	farewell	3.4	4.2	4.7
4478	farm	6.2	3.0	6.1
4479	farmer	6.1	3.7	6.1
4480	farmhouse	5.8	3.5	4.8
4481	farming	5.5	3.2	5.8
4482	farmland	6.6	3.1	5.7
4483	fart	4.0	4.7	3.7
4484	fascinate	7.0	6.1	6.3
4485	fascinating	7.4	5.1	6.2
4486	fascination	7.2	5.1	6.0
4487	fascism	2.5	5.1	3.0
4488	fascist	3.1	4.7	3.9
4489	fashion	5.3	5.2	5.6
4490	fashionable	7.3	4.0	5.7
4491	fastball	5.7	6.1	5.4
4492	fasten	5.6	4.0	7.1
4493	fat	2.7	3.9	4.0
4494	fatal	2.0	6.8	3.5
4495	fatality	2.8	6.0	3.7
4496	fate	5.4	5.2	5.5
4497	fated	4.4	3.8	2.6
4498	fateful	5.0	4.5	4.8
4499	fathead	3.5	5.0	4.3
4500	father	6.9	3.7	5.2
4501	fatherhood	6.8	4.6	5.6
4502	fatherland	5.1	3.6	5.6
4503	fatherly	6.5	3.5	6.6
4504	fathom	5.2	4.7	4.3
4505	fatigue	3.6	3.3	4.0
4506	fatigued	2.9	3.8	4.3
4507	fatso	2.7	5.3	4.0
4508	fatten	3.9	3.4	4.6
4509	fatty	2.4	3.4	3.5
4510	faucet	5.6	3.5	6.3
4511	fault	3.5	4.0	4.0
4512	faulty	3.5	4.7	4.4
4513	faun	5.1	4.2	5.5
4514	fauna	6.0	3.2	6.0
4515	faux	4.2	3.6	4.5
4516	favor	6.7	4.6	6.2
4517	favorable	6.9	4.6	6.8
4518	favorite	7.4	4.4	7.0
4519	favoritism	4.8	5.2	4.8
4520	fawn	6.2	3.9	5.7
4521	fax	5.2	3.4	5.7
4522	faze	4.8	3.9	5.4
4523	fear	2.9	6.1	3.3
4524	fearful	2.7	5.4	3.1
4525	fearless	5.8	4.0	6.9
4526	fearsome	3.3	5.4	3.6
4527	feasible	5.8	4.2	6.8
4528	feast	7.6	5.3	6.2
4529	feat	6.0	4.0	6.2
4530	feather	6.3	3.3	6.0
4531	feathered	6.3	3.4	5.8
4532	feature	5.6	3.9	6.3
4533	fecal	2.4	4.5	4.2
4534	feces	2.2	4.4	4.5
4535	federal	3.1	4.4	2.8
4536	federation	4.7	3.6	5.4
4537	fee	2.9	4.1	4.1
4538	feeble	3.9	3.7	3.5
4539	feed	7.0	4.6	6.8
4540	feedback	5.9	4.2	5.6
4541	feeder	5.2	4.2	5.0
4542	feel	6.3	4.0	5.5
4543	feeling	6.5	3.9	6.5
4544	feign	4.4	3.7	5.0
4545	feisty	5.8	6.3	6.1
4546	feline	6.9	3.6	5.9
4547	feller	4.8	3.1	4.5
4548	fellow	6.3	3.0	6.0
4549	fellowship	6.4	2.9	5.9
4550	felon	2.2	5.0	3.4
4551	felony	2.4	5.0	4.3
4552	female	7.5	5.9	6.4
4553	feminine	7.3	4.3	5.1
4554	femininity	6.2	4.5	5.9
4555	feminist	4.3	3.9	5.1
4556	femme	6.2	4.4	4.8
4557	femoral	4.5	4.3	4.5
4558	femur	4.6	3.1	5.2
4559	fence	5.0	2.7	5.2
4560	fencing	5.2	3.9	5.9
4561	fend	4.8	4.7	5.9
4562	fender	5.1	3.2	5.1
4563	fennel	5.4	3.6	6.3
4564	fern	6.5	3.2	4.7
4565	ferocious	3.2	6.7	4.0
4566	ferret	4.9	4.1	4.2
4567	ferry	6.3	2.7	5.4
4568	ferryboat	5.9	4.1	5.3
4569	fertile	7.0	5.4	4.9
4570	fertility	5.8	4.7	4.6
4571	fertilize	5.4	4.3	6.5
4572	fertilizer	4.4	3.4	5.6
4573	fess	3.6	3.4	5.0
4574	fest	6.6	4.8	5.2
4575	festival	6.8	5.9	5.6
4576	festive	7.1	5.7	6.6
4577	fetal	4.0	4.4	4.2
4578	fetch	5.3	4.0	5.6
4579	fetish	5.0	4.7	4.8
4580	fetus	4.7	4.2	4.6
4581	feud	4.0	5.1	4.2
4582	fever	2.9	5.0	3.1
4583	feverish	3.1	5.4	3.8
4584	fiancee	7.1	5.0	6.0
4585	fiasco	4.0	5.3	3.0
4586	fib	3.2	5.6	4.7
4587	fiber	5.4	3.6	5.4
4588	fiberglass	4.4	2.6	4.6
4589	fibrosis	3.3	4.1	4.9
4590	fickle	4.8	5.2	4.5
4591	fiction	6.5	4.7	6.4
4592	fictional	6.0	3.6	5.9
4593	fictitious	5.8	4.4	4.6
4594	fiddle	5.0	4.0	4.8
4595	fiddler	5.6	3.9	5.9
4596	fidelity	6.7	3.8	6.7
4597	field	5.7	3.8	5.7
4598	field hockey	4.9	3.5	5.4
4599	fielder	4.7	4.2	5.2
4600	fiend	3.8	5.2	3.9
4601	fiendish	4.0	4.7	3.9
4602	fierce	4.0	5.7	5.7
4603	fiery	5.7	5.6	5.9
4604	fiesta	6.7	6.2	5.3
4605	fifteen	4.9	3.6	4.8
4606	fifty	4.7	3.4	5.9
4607	fig	5.2	4.2	6.0
4608	fight	3.5	6.3	4.7
4609	fighter	5.1	5.3	6.4
4610	figment	5.0	4.4	5.0
4611	figure	5.1	3.7	5.4
4612	file	5.4	3.4	4.6
4613	filet	6.1	3.2	5.1
4614	fill	5.6	3.4	6.8
4615	filler	4.9	3.9	5.8
4616	fillet	6.7	4.6	5.4
4617	filly	5.0	2.9	4.5
4618	film	6.3	4.1	6.2
4619	filmmaker	5.5	4.0	5.7
4620	filter	5.5	3.6	5.6
4621	filth	2.6	4.1	4.1
4622	filthy	3.4	4.6	4.5
4623	filtration	5.6	4.2	5.7
4624	fin	5.3	4.4	5.4
4625	final	4.6	4.4	3.9
4626	finale	5.3	4.3	5.6
4627	finalist	6.2	3.3	5.8
4628	finality	4.4	4.2	4.5
4629	finalize	5.6	4.8	5.8
4630	finance	4.8	5.6	4.6
4631	financial	5.0	4.6	4.8
4632	finch	4.7	3.5	5.0
4633	find	6.4	3.5	6.2
4634	finder	5.8	4.4	5.8
4635	fine	6.5	3.9	5.8
4636	finesse	6.0	3.9	6.6
4637	finger	5.8	4.2	5.3
4638	fingernail	5.6	3.5	4.7
4639	fingerprint	5.2	3.3	4.6
4640	finish	6.4	3.8	6.4
4641	finite	5.7	4.4	4.8
4642	fir	5.0	3.0	5.5
4643	fire	4.3	6.0	4.6
4644	firearm	4.0	4.5	5.9
4645	fireball	3.7	6.1	4.2
4646	firecracker	5.7	6.7	4.6
4647	firefight	4.3	5.5	5.0
4648	firefighter	6.6	4.9	5.1
4649	firefly	7.0	4.8	5.3
4650	firehouse	5.2	4.7	4.6
4651	firelight	6.4	3.6	5.6
4652	fireman	6.5	4.5	5.0
4653	fireplace	6.0	5.2	5.6
4654	firepower	5.8	5.9	6.3
4655	fireside	6.0	4.0	5.6
4656	firewall	4.4	4.9	4.8
4657	firewood	6.1	4.6	6.0
4658	fireworks	6.8	6.0	5.6
4659	firm	5.4	4.3	6.6
4660	firmament	5.1	3.6	5.0
4661	first	7.3	4.9	6.4
4662	firstborn	6.6	5.6	5.2
4663	fiscal	4.2	4.0	5.2
4664	fish	6.4	3.3	6.1
4665	fisherman	5.4	4.1	5.5
4666	fishing	7.0	3.6	6.3
4667	fishing boat	6.2	3.1	5.4
4668	fishy	4.2	3.1	3.6
4669	fissure	4.3	4.2	4.6
4670	fist	3.0	4.8	5.0
4671	fistfight	4.0	6.2	4.4
4672	fistful	5.4	4.1	4.8
4673	fit	6.3	4.4	6.1
4674	fitness	6.4	5.3	7.0
4675	five	5.4	3.6	5.6
4676	fiver	5.2	4.9	4.3
4677	fix	6.1	3.6	6.7
4678	fixable	6.8	3.5	6.5
4679	fixation	4.1	4.1	3.7
4680	fixer	6.4	2.7	6.7
4681	fixture	5.0	2.9	5.5
4682	fizz	5.4	4.6	5.9
4683	fjord	5.5	3.2	4.2
4684	flabby	3.4	3.4	4.8
4685	flaccid	3.6	3.1	4.8
4686	flag	6.1	3.7	5.6
4687	flagpole	5.1	3.2	5.0
4688	flagrant	4.0	4.9	4.6
4689	flagship	5.4	3.6	5.1
4690	flagstaff	5.5	3.9	5.0
4691	flair	5.9	4.3	6.1
4692	flak	4.6	4.6	5.3
4693	flake	4.6	3.5	4.1
4694	flaky	3.6	3.5	3.6
4695	flamboyant	5.0	5.5	5.2
4696	flame	5.9	6.6	4.6
4697	flamethrower	5.3	6.0	4.6
4698	flaming	4.6	6.0	4.7
4699	flamingo	6.7	4.6	6.2
4700	flammable	4.2	6.0	4.5
4701	flan	5.9	3.2	6.2
4702	flank	5.0	3.9	5.6
4703	flannel	5.6	2.3	4.7
4704	flap	5.7	3.4	4.6
4705	flare	5.4	4.9	5.8
4706	flares	4.6	5.2	5.0
4707	flash	5.5	5.4	4.9
4708	flashback	5.0	4.7	4.2
4709	flashlight	6.0	4.0	6.1
4710	flashy	4.8	5.8	5.8
4711	flask	5.5	4.2	5.2
4712	flat	4.4	3.0	4.0
4713	flatbed	4.9	3.4	5.4
4714	flatfoot	4.3	3.1	4.3
4715	flatten	5.2	3.5	5.5
4716	flatter	6.1	4.6	6.0
4717	flattered	6.3	5.1	6.0
4718	flattering	7.1	4.9	6.4
4719	flattery	5.7	5.1	5.9
4720	flatulence	3.8	6.0	4.4
4721	flaunt	4.4	4.2	5.2
4722	flavor	6.4	4.4	7.0
4723	flaw	4.1	3.8	4.2
4724	flawed	3.7	4.2	5.1
4725	flawless	7.0	4.0	6.6
4726	flea	3.0	3.0	4.4
4727	fleabag	3.4	4.4	4.3
4728	flee	3.8	5.0	5.0
4729	fleece	5.8	3.7	5.6
4730	fleet	5.4	4.4	6.2
4731	flesh	5.2	4.1	5.3
4732	fleshy	4.9	5.3	4.0
4733	flex	5.3	4.8	6.0
4734	flexibility	6.9	4.5	6.7
4735	flexible	6.7	4.4	6.7
4736	flick	5.4	4.3	6.5
4737	flicker	5.5	5.2	5.4
4738	flier	4.2	4.4	4.8
4739	flight	6.1	4.2	5.3
4740	flighty	4.9	4.9	4.3
4741	flimsy	4.0	3.8	4.2
4742	flinch	4.0	5.3	4.1
4743	fling	5.7	5.0	6.1
4744	flip	5.6	4.6	5.3
4745	flip flop	4.8	4.0	5.1
4746	flipper	5.8	3.0	5.2
4747	flipping	5.3	4.0	5.0
4748	flirt	6.7	5.9	5.8
4749	flirtation	5.8	6.3	5.8
4750	flirty	6.5	5.9	5.6
4751	float	6.4	3.1	5.9
4752	floater	4.2	3.1	4.3
4753	flock	5.2	3.5	5.4
4754	flood	2.8	5.3	3.2
4755	floor	5.1	3.3	6.4
4756	flooring	5.3	3.0	6.0
4757	floozy	4.0	4.9	4.4
4758	flop	4.0	3.4	4.8
4759	floppy	4.6	4.4	4.6
4760	floral	7.4	2.7	5.2
4761	florist	6.6	3.2	5.8
4762	floss	5.0	3.5	5.7
4763	flotation	5.6	3.6	4.7
4764	flounder	5.3	4.0	4.3
4765	flour	5.2	3.3	5.9
4766	flourish	7.2	5.2	6.2
4767	flow	5.7	3.7	5.4
4768	flower	7.3	3.7	6.4
4769	flowery	7.5	3.8	5.6
4770	flu	2.6	4.0	2.8
4771	flue	4.4	2.9	4.3
4772	fluent	6.5	3.9	5.7
4773	fluff	6.2	3.5	6.1
4774	fluffy	7.1	3.4	6.1
4775	fluid	5.0	4.0	5.8
4776	fluke	4.3	4.9	3.6
4777	flunk	2.0	3.7	4.2
4778	flunky	2.9	3.2	5.0
4779	fluorescent	5.2	3.8	5.2
4780	flurry	5.7	4.2	5.2
4781	flush	4.7	4.4	5.6
4782	flute	6.3	3.7	5.8
4783	flutter	5.7	4.9	5.4
4784	flux	4.2	4.2	4.8
4785	fly	6.1	4.9	5.3
4786	flyboy	4.7	4.3	5.0
4787	flyer	5.0	3.8	5.4
4788	foam	5.2	2.9	5.1
4789	focal	4.8	3.9	6.4
4790	focus	6.5	4.4	6.8
4791	foe	3.2	4.7	3.8
4792	fog	5.8	3.7	4.0
4793	foggy	4.6	3.7	4.2
4794	foil	4.6	3.7	5.0
4795	fold	5.2	3.0	6.7
4796	folder	5.7	2.3	5.4
4797	foliage	5.7	4.2	6.2
4798	folk	6.2	2.4	6.0
4799	folklore	6.3	4.1	4.8
4800	follow	4.8	3.8	4.8
4801	follower	4.9	3.4	4.6
4802	folly	4.1	4.6	3.6
4803	fond	6.8	3.3	6.4
4804	fondle	4.3	5.2	4.9
4805	fondness	7.7	3.6	6.8
4806	fondue	6.0	3.7	6.5
4807	font	5.1	3.4	6.4
4808	food	7.5	4.7	6.1
4809	fool	3.6	4.9	2.9
4810	foolhardy	3.9	5.0	4.7
4811	foolish	3.0	4.6	3.9
4812	foolishness	4.1	4.6	4.3
4813	foolproof	5.8	4.4	6.0
4814	foot	4.7	2.8	6.0
4815	foot stool	5.3	3.4	5.4
4816	footage	5.3	3.1	5.7
4817	football	6.5	5.6	5.4
4818	foothold	5.2	3.8	5.1
4819	footing	5.1	3.0	5.6
4820	footlocker	5.0	4.2	5.3
4821	footloose	6.0	4.6	5.4
4822	footprint	6.0	3.0	6.4
4823	footwear	6.4	4.0	5.2
4824	footwork	5.7	4.0	5.6
4825	forbid	2.8	4.8	4.5
4826	forbidding	3.8	5.0	3.6
4827	force	4.2	5.4	4.2
4828	forceful	3.7	5.4	5.5
4829	forceps	3.8	4.6	5.9
4830	forces	5.6	4.3	5.5
4831	ford	5.8	2.8	6.0
4832	fore	5.0	4.3	5.5
4833	forearm	5.6	3.8	6.4
4834	foreboding	3.5	5.3	3.5
4835	forecast	4.9	3.7	4.7
4836	foreclose	2.0	6.0	2.9
4837	foreclosure	1.8	5.9	3.1
4838	forefront	5.0	4.7	6.1
4839	forego	4.9	4.3	5.3
4840	foregone	5.1	3.3	4.2
4841	foreground	5.5	2.7	5.1
4842	forehead	5.0	3.1	6.5
4843	foreign	4.9	5.4	4.8
4844	foreigner	4.7	3.2	4.3
4845	foreman	4.9	3.6	5.1
4846	foremost	5.3	3.8	6.0
4847	forensic	4.4	5.1	4.8
4848	forensics	5.9	4.4	5.1
4849	foreplay	6.4	6.7	5.9
4850	foresee	5.7	3.6	6.0
4851	foresight	5.8	3.5	6.1
4852	forest	6.7	4.4	5.7
4853	forevermore	6.5	4.3	5.0
4854	forfeit	3.7	4.7	4.4
4855	forge	5.0	4.2	5.6
4856	forger	4.0	5.0	4.7
4857	forgery	2.6	4.9	3.4
4858	forget	3.7	4.4	3.5
4859	forgetful	3.6	4.4	4.4
4860	forgetfulness	3.8	4.6	4.2
4861	forgive	7.1	3.6	6.4
4862	forgiveness	6.9	4.0	6.3
4863	forgiving	6.7	4.0	6.4
4864	fork	5.5	3.4	6.0
4865	forklift	4.7	4.2	5.0
4866	forlorn	4.0	4.1	3.7
4867	form	5.6	3.8	6.5
4868	formal	5.4	4.5	5.6
4869	formaldehyde	2.9	3.8	3.6
4870	formality	4.9	3.4	5.7
4871	format	5.2	2.7	4.8
4872	formation	5.6	4.0	5.0
4873	formidable	5.5	4.0	5.6
4874	formula	5.3	3.6	4.7
4875	formulate	5.2	2.6	5.5
4876	fornicate	4.7	5.4	5.6
4877	fornication	6.0	6.6	6.6
4878	forsake	3.6	3.3	4.0
4879	forte	5.7	3.6	6.4
4880	forthcoming	5.1	4.1	6.0
4881	forthright	6.3	3.4	5.8
4882	fortitude	6.3	4.6	6.8
4883	fortnight	5.5	3.0	5.6
4884	fortress	4.8	3.8	6.6
4885	fortuitous	6.6	5.0	6.1
4886	fortunate	7.3	3.8	5.8
4887	fortune	7.2	5.8	6.7
4888	forty	5.0	3.3	5.9
4889	forum	5.0	4.5	5.5
4890	forwarding	5.2	3.7	6.0
4891	fossil	6.0	4.1	4.8
4892	foul	3.0	4.1	4.1
4893	foundation	5.9	2.4	6.4
4894	founder	5.4	4.0	5.7
4895	founding	5.4	2.8	5.4
4896	foundry	5.3	3.2	5.0
4897	fountain	6.3	3.1	5.9
4898	four	5.3	3.4	5.6
4899	foursome	4.1	5.2	5.3
4900	fourteen	5.4	3.6	5.3
4901	fowl	4.6	4.0	5.8
4902	fox	5.5	4.4	5.5
4903	foxhole	5.4	5.0	5.1
4904	foxtrot	5.8	5.0	5.5
4905	foxy	6.0	4.8	5.3
4906	foyer	6.0	3.6	5.5
4907	fraction	5.2	4.0	5.1
4908	fracture	3.6	5.3	4.2
4909	fragile	4.7	3.0	4.0
4910	fragment	4.6	3.6	4.8
4911	fragrance	6.7	4.7	6.6
4912	fragrant	7.0	4.8	6.0
4913	frail	3.6	2.6	3.0
4914	frame	5.3	4.0	5.8
4915	framework	5.7	3.1	5.8
4916	franc	5.2	3.7	5.1
4917	franchise	5.0	4.1	5.5
4918	frantic	3.8	5.4	3.6
4919	frat	4.3	3.6	4.6
4920	fraternity	4.9	4.6	5.4
4921	fraud	2.0	5.2	3.5
4922	fraught	2.9	4.3	4.0
4923	fray	4.3	4.5	4.1
4924	frayed	4.0	3.2	4.6
4925	freak	3.7	6.3	5.1
4926	freakish	3.7	5.1	4.9
4927	freaky	4.3	6.0	4.2
4928	freckle	5.5	3.4	4.4
4929	free	8.2	5.4	6.5
4930	freebie	7.3	6.1	6.0
4931	freedom	7.7	5.7	7.4
4932	freelance	6.0	4.2	6.0
4933	freelancer	5.9	4.0	6.0
4934	freeman	6.6	4.4	6.4
4935	freestyle	6.4	5.4	6.3
4936	freeway	5.3	4.7	5.0
4937	freeze	4.6	4.0	5.9
4938	freezer	5.3	2.7	5.1
4939	freezing	3.3	5.8	4.2
4940	freight	4.2	3.8	4.8
4941	freighter	4.8	3.7	5.2
4942	french horn	6.0	4.0	5.8
4943	frenzy	4.2	6.0	4.0
4944	frequency	5.2	4.9	5.6
4945	frequent	5.6	4.0	5.9
4946	fresh	6.7	2.4	6.3
4947	freshen	6.6	4.7	7.2
4948	freshener	5.7	4.2	6.2
4949	freshman	5.0	3.8	3.8
4950	freshness	7.4	4.1	6.3
4951	freshwater	7.3	2.8	5.8
4952	fret	3.7	5.9	4.2
4953	friar	5.2	3.3	5.6
4954	friction	4.0	5.0	4.2
4955	fridge	6.3	4.6	5.7
4956	fried	5.8	4.1	6.0
4957	friend	6.8	4.3	6.3
4958	friendless	3.2	4.2	4.6
4959	friendly	7.8	4.3	7.6
4960	friendship	7.8	5.2	7.0
4961	fright	3.3	5.0	4.0
4962	frighten	3.0	4.8	2.7
4963	frightened	2.4	5.6	3.0
4964	frightening	2.6	4.7	3.4
4965	frightful	3.0	5.2	3.6
4966	frigid	3.8	3.9	5.6
4967	fringe	5.2	4.5	4.5
4968	frisbee	6.4	3.3	6.1
4969	frisk	4.8	6.6	4.8
4970	frisky	6.6	6.0	6.2
4971	frivolous	4.6	4.2	4.3
4972	frock	4.7	4.5	4.7
4973	frog	5.8	4.1	5.5
4974	froggy	5.7	3.4	4.8
4975	frolic	6.0	4.2	6.0
4976	frontal	6.0	4.1	6.0
4977	frontier	6.5	4.0	4.3
4978	frostbite	2.1	7.0	4.0
4979	frosted	6.6	3.9	5.0
